iso_code,continent,location,date,population,new_cases,new_deaths,total_cases,total_deaths,new_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_million,new_deaths_per_million,new_vaccinations_per_million,new_cases_ra7,new_deaths_ra7,new_vaccinations_ra7,new_cases_per_million_ra7,new_deaths_per_million_ra7,new_vaccinations_per_million_ra7
ITA,Europe,Italy,2021-06-04,59037472.0,1963.0,59.0,4225163.0,126342.0,634480.0,25503563.0,12924596.0,,33.25006870212871,0.9993652844755954,10747.07263888264,2741.8571428571427,78.42857142857143,503781.1428571429,46.44265836547241,1.328454094859811,8533.24381601473
ITA,Europe,Italy,2021-06-05,59037472.0,2556.0,73.0,4227719.0,126415.0,619603.0,26004992.0,13100179.0,,43.294536730841045,1.2365028096053978,10495.08014164292,2573.1428571428573,70.85714285714286,517204.7142857143,43.58490921059183,1.2002062496365504,8760.617566512912
ITA,Europe,Italy,2021-06-06,59037472.0,2434.0,57.0,4230153.0,126472.0,512971.0,26436209.0,13231090.0,,41.22805258328134,0.965488495171338,8688.90524309713,2442.5714285714284,67.14285714285714,532942.7142857143,41.37323882315673,1.1372922123572151,9027.194021548115
ITA,Europe,Italy,2021-06-07,59037472.0,2275.0,51.0,4232428.0,126523.0,572408.0,26894670.0,13382444.0,,38.53484783359288,0.8638581272585655,9695.672606035703,2346.428571428572,68.14285714285714,545993.5714285715,39.74473316588778,1.1542306070093438,9248.254590382385
ITA,Europe,Italy,2021-06-08,59037472.0,1270.0,65.0,4233698.0,126588.0,583516.0,27358429.0,13543302.0,,21.51176120820349,1.1009956523883675,9883.82429383155,2268.1428571428573,65.71428571428571,562138.7142857143,38.41869884169256,1.1130945057113169,9521.727391811666
ITA,Europe,Italy,2021-06-09,59037472.0,1894.0,102.0,4235592.0,126690.0,595598.0,27832201.0,13703645.0,,32.08131947113183,1.727716254517131,10088.47397801857,2184.0,67.0,588219.4285714285,36.993453920249166,1.1348724416926252,9963.492823192506
ITA,Europe,Italy,2021-06-10,59037472.0,2198.0,77.0,4237790.0,126767.0,635027.0,28338664.0,13865219.0,,37.23059144537896,1.3042563882139129,10756.337940757354,2084.285714285714,69.14285714285714,593371.8571428572,35.30445399636547,1.1711690016614724,10050.766691752267
ITA,Europe,Italy,2021-06-11,59037472.0,2078.0,88.0,4239868.0,126855.0,624099.0,28829271.0,14022801.0,,35.197984087123515,1.4905787293873287,10571.235163998892,2100.714285714286,73.28571428571429,591888.8571428572,35.58272762279329,1.2413423509345771,10025.647052483158
ITA,Europe,Italy,2021-06-12,59037472.0,1892.0,69.0,4241760.0,126924.0,567383.0,29294461.0,14140214.0,,32.04744268182757,1.1687492309968828,9610.55717290876,2005.857142857143,72.71428571428571,584428.8571428572,33.97599990150566,1.231663268276218,9899.28662837828
ITA,Europe,Italy,2021-06-13,59037472.0,1722.0,52.0,4243482.0,126976.0,436279.0,29653854.0,14222841.0,,29.167915590965684,0.8807965219106942,7389.865880436073,1904.142857142857,72.0,573472.8571428572,32.25312318831771,1.219564414953269,9713.709576569558
ITA,Europe,Italy,2021-06-14,59037472.0,1390.0,26.0,4244872.0,127002.0,534443.0,29988992.0,14429029.0,,23.544368566458942,0.4403982609553471,9052.606453067638,1777.7142857142858,68.42857142857143,568049.2857142857,30.11162615015571,1.1590701483385235,9621.842983288405
ITA,Europe,Italy,2021-06-15,59037472.0,907.0,36.0,4245779.0,127038.0,537412.0,30313514.0,14649039.0,,15.363123949480764,0.6097822074766345,9102.896546789809,1725.857142857143,64.28571428571429,561463.0,29.233249398909606,1.0888967990654188,9510.281876568157
ITA,Europe,Italy,2021-06-16,59037472.0,1253.0,63.0,4247032.0,127101.0,558914.0,30636080.0,14893435.0,,21.223808499117307,1.0671188630841104,9467.10590859988,1634.2857142857142,58.71428571428572,556222.4285714285,27.682176402907537,0.9945257431464156,9421.515009508345
ITA,Europe,Italy,2021-06-17,59037472.0,1400.0,52.0,4248432.0,127153.0,605773.0,30957086.0,15186170.0,,23.71375251298023,0.8807965219106942,10260.82214360398,1520.2857142857142,55.142857142857146,552043.2857142857,25.75119941256486,0.9340314765316702,9350.727038486431
ITA,Europe,Italy,2021-06-18,59037472.0,1323.0,37.0,4249755.0,127190.0,610517.0,31276661.0,15483074.0,,22.40949612476632,0.6267206021287632,10341.17788783368,1412.428571428571,47.85714285714285,550103.0,23.924272560799544,0.8106231726375894,9317.861713319977
ITA,Europe,Italy,2021-06-19,59037472.0,1147.0,35.0,4250902.0,127225.0,559900.0,31574204.0,15749940.0,,19.42833866599166,0.5928438128245057,9483.80716572688,1306.0,43.0,549034.0,22.12154341568013,0.7283509700415357,9299.754569436847
ITA,Europe,Italy,2021-06-20,59037472.0,1193.0,28.0,4252095.0,127253.0,438395.0,31800941.0,15964159.0,,20.20750481998958,0.4742750502596046,7425.707523519977,1230.428571428571,39.57142857142857,549336.2857142857,20.84148473411211,0.67027647409138,9304.87480416312
ITA,Europe,Italy,2021-06-21,59037472.0,881.0,17.0,4252976.0,127270.0,559534.0,32086050.0,16243455.0,,14.922725688525416,0.2879527090861885,9477.6077132842,1157.7142857142858,38.285714285714285,552920.7142857143,19.609821465835896,0.6484985381100717,9365.589269908343
