Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2024-05-30,190.18373107910156,179.32000732421875,170.93106079101562,410.83953857421875,178.7899932861328
2024-05-31,191.13818359375,176.44000244140625,171.31838989257812,411.2952880859375,178.0800018310547
2024-06-03,192.9078826904297,178.33999633789062,171.98379516601562,409.70013427734375,176.2899932861328
2024-06-04,193.2260284423828,179.33999633789062,172.59954833984375,412.2265930175781,174.77000427246094
2024-06-05,194.7372283935547,181.27999877929688,174.20848083496094,420.09332275390625,175.0
2024-06-06,193.3552703857422,185.0,175.51942443847656,420.5985412597656,177.94000244140625
2024-06-07,195.7513427734375,184.3000030517578,173.26498413085938,419.9347229003906,177.47999572753906
2024-06-10,192.0031280517578,187.05999755859375,174.01068115234375,423.9176330566406,173.7899932861328
2024-06-11,205.95199584960938,187.22999572753906,175.61148071289062,428.6831970214844,170.66000366210938
2024-06-12,211.83778381347656,186.88999938964844,176.77481079101562,436.9858093261719,177.2899932861328
2024-06-13,213.00100708007812,183.8300018310547,174.1598358154297,437.5009765625,182.47000122070312
2024-06-14,211.2611083984375,183.66000366210938,175.78050231933594,438.4818420410156,178.00999450683594
2024-06-17,215.4169464111328,184.05999755859375,176.2279510498047,444.2282409667969,187.44000244140625
2024-06-18,213.05068969726562,182.80999755859375,174.09022521972656,442.2170104980469,184.86000061035156
2024-06-20,208.46737670898438,186.10000610351562,175.29331970214844,441.58294677734375,181.57000732421875
2024-06-21,206.2900390625,189.0800018310547,178.60430908203125,445.625244140625,183.00999450683594
2024-06-24,206.936279296875,185.57000732421875,178.19664001464844,443.53472900390625,182.5800018310547
2024-06-25,207.86090087890625,186.33999633789062,182.97918701171875,446.784423828125,187.35000610351562
2024-06-26,212.0167236328125,193.61000061035156,182.83006286621094,447.98321533203125,196.3699951171875
2024-06-27,212.86181640625,197.85000610351562,184.35130310058594,448.6668701171875,197.4199981689453
2024-06-28,209.40191650390625,193.25,181.10992431640625,442.82135009765625,197.8800048828125
2024-07-01,215.49647521972656,197.1999969482422,181.9451446533203,452.5110168457031,209.86000061035156
2024-07-02,218.99612426757812,200.0,184.18228149414062,455.0374755859375,231.25999450683594
2024-07-03,220.2687225341797,197.58999633789062,184.7589874267578,456.5137023925781,246.38999938964844
2024-07-05,225.03103637695312,200.0,189.5116729736328,463.2409362792969,251.52000427246094
2024-07-08,226.50247192382812,199.2899932861328,187.9506378173828,461.9331970214844,252.94000244140625
2024-07-09,227.35748291015625,199.33999633789062,187.9009246826172,455.2950439453125,262.3299865722656
2024-07-10,231.63262939453125,199.7899932861328,190.08834838867188,461.9430847167969,263.260009765625
2024-07-11,226.25392150878906,195.0500030517578,184.51040649414062,450.49981689453125,241.02999877929688
2024-07-12,229.2067108154297,194.49000549316406,184.0132598876953,449.36041259765625,248.22999572753906
2024-07-15,233.04440307617188,192.72000122070312,185.46490478515625,449.7666015625,252.63999938964844
2024-07-16,233.46200561523438,193.02000427246094,182.86981201171875,445.3676452636719,256.55999755859375
2024-07-17,227.5563507080078,187.92999267578125,179.9863739013672,439.42303466796875,248.5
2024-07-18,222.88351440429688,183.75,176.67538452148438,436.3021240234375,249.22999572753906
2024-07-19,223.01275634765625,183.1300048828125,176.6455535888672,433.0722351074219,239.1999969482422
2024-07-22,222.66481018066406,182.5500030517578,180.63267517089844,438.8484191894531,251.50999450683594
2024-07-23,223.7086944580078,186.41000366210938,180.75196838378906,440.7407531738281,246.3800048828125
2024-07-24,217.276123046875,180.8300018310547,171.64427185058594,424.9381103515625,215.99000549316406
2024-07-25,216.23220825195312,179.85000610351562,166.3248291015625,414.53509521484375,220.25
2024-07-26,216.69947814941406,182.5,166.04641723632812,421.34161376953125,219.8000030517578
2024-07-29,216.97787475585938,183.1999969482422,168.56199645996094,422.7881774902344,232.10000610351562
2024-07-30,217.53463745117188,181.7100067138672,169.31764221191406,419.01336669921875,222.6199951171875
2024-07-31,220.795654296875,186.97999572753906,170.5605010986328,414.4855651855469,232.07000732421875
2024-08-01,217.09718322753906,184.07000732421875,169.7849578857422,413.2569885253906,216.86000061035156
2024-08-02,218.5885009765625,167.89999389648438,165.7083740234375,404.71661376953125,207.6699981689453
2024-08-05,208.0597381591797,161.02000427246094,158.34068298339844,391.4998474121094,198.8800048828125
2024-08-06,206.03152465820312,161.92999267578125,157.3861541748047,395.9186706542969,200.63999938964844
2024-08-07,208.6065673828125,162.77000427246094,158.03245544433594,394.74957275390625,191.75999450683594
2024-08-08,212.0763702392578,165.8000030517578,161.10479736328125,398.97021484375,198.83999633789062
2024-08-09,214.98944091796875,166.94000244140625,162.73544311523438,402.2694396972656,200.0
2024-08-12,216.52230834960938,166.8000030517578,161.36331176757812,403.0521545410156,197.49000549316406
2024-08-13,220.24497985839844,170.22999572753906,163.22262573242188,410.1856384277344,207.8300018310547
2024-08-14,220.69288635253906,170.10000610351562,159.4542694091797,413.0093078613281,201.3800048828125
2024-08-15,223.67898559570312,177.58999633789062,160.3789825439453,417.89263916015625,214.13999938964844
2024-08-16,225.00283813476562,177.05999755859375,162.02951049804688,415.3517150878906,216.1199951171875
2024-08-19,224.84356689453125,178.22000122070312,165.7183074951172,418.388916015625,222.72000122070312
2024-08-20,225.460693359375,178.8800048828125,166.22540283203125,421.63458251953125,221.10000610351562
2024-08-21,225.35121154785156,180.11000061035156,164.90298461914062,420.9795227050781,223.27000427246094
2024-08-22,223.4898681640625,176.1300048828125,162.8647003173828,412.4534912109375,210.66000366210938
2024-08-23,225.78916931152344,177.0399932861328,164.67431640625,413.68426513671875,220.32000732421875
2024-08-26,226.12759399414062,175.5,165.21121215820312,410.4088134765625,213.2100067138672
2024-08-27,226.97366333007812,173.1199951171875,163.73965454101562,410.7562255859375,209.2100067138672
2024-08-28,225.4407958984375,170.8000030517578,161.92013549804688,407.5403747558594,205.75
2024-08-29,228.72549438476562,172.1199951171875,160.85623168945312,410.04156494140625,206.27999877929688
2024-08-30,227.9391632080078,178.5,162.44711303710938,414.0316467285156,214.11000061035156
2024-09-03,221.73802185058594,176.25,156.4614715576172,406.3890075683594,210.60000610351562
2024-09-04,219.82691955566406,173.3300018310547,155.55665588378906,405.8530578613281,219.41000366210938
2024-09-05,221.34983825683594,177.88999938964844,156.3421630859375,405.34686279296875,230.1699981689453
2024-09-06,219.79705810546875,171.38999938964844,150.05825805664062,398.70672607421875,210.72999572753906
2024-09-09,219.8866424560547,175.39999389648438,148.05706787109375,402.69677734375,216.27000427246094
2024-09-10,219.09034729003906,179.5500030517578,148.0072784423828,411.11358642578125,226.1699981689453
2024-09-11,221.6285400390625,184.52000427246094,150.49632263183594,419.8876953125,228.1300048828125
2024-09-12,221.73802185058594,187.0,154.0108184814453,423.81817626953125,229.80999755859375
2024-09-13,221.4692840576172,186.49000549316406,156.76864624023438,427.38140869140625,230.2899932861328
2024-09-16,215.3179168701172,184.88999938964844,157.3660125732422,428.1258239746094,226.77999877929688
2024-09-17,215.78570556640625,186.8800048828125,158.6204833984375,431.907470703125,227.8699951171875
